Internal ID,External ID,Date,Period,Type,Document Number,Name,Subtotal 1,Currency
403006,006Qv00000D9Rr9IAF,13/01/2026,Jan 2026,Invoice,INV1372,439 Danske Spil,"290,574.00 ",DKK
403007,006Qv00000FJwZcIAL,13/01/2026,Jan 2026,Invoice,INV1373,494 ISI Markets,"38,000.00 ",GBP
403008,006Qv00000C83hlIAB,13/01/2026,Jan 2026,Invoice,INV1374,437 FläktGroup Finland Oy,"25,000.00 ",EUR
403009,006Qv000004ZsxmIAC,13/01/2026,Jan 2026,Invoice,INV1375,331 GROB GROUP LTD,"26,500.00 ",GBP
403010,006Qv000002wyibIAA,13/01/2026,Jan 2026,Invoice,INV1376,34 ETF Partners LLP,"17,500.00 ",EUR
403113,0065q00000717VhAAI,14/01/2026,Jan 2026,Invoice,INV1377,84 Probi,"21,855.00 ",EUR
403114,006Qv00000NZ4DDIA1,14/01/2026,Jan 2026,Invoice,INV1378,542 Delivery Associates Limited,"4,000.00 ",EUR
403115,006Qv00000HfupFIAR,14/01/2026,Jan 2026,Invoice,INV1379,536 INSTARMAC GROUP PLC,"20,500.00 ",GBP
403316,006Qv00000ExmWnIAJ,14/01/2026,Jan 2026,Invoice,INV1380,454 Semler Gruppen A/S,"35,000.00 ",EUR
403625,006Qv000004FhaEIAS,15/01/2026,Jan 2026,Invoice,INV1381,322 Creo medical Ltd,"15,000.00 ",GBP
